title,updated,entity,topic,winner,is_new,is_pick,filename,subhead,related_suid,related_link,footnotes,overview,methodology,sources,data_updated
Fastest Aging Within One Generation: Countries,5/28/2013,places,lifestyle,South Korea,NA,NA,fastest-aging-within-one-generation-countries.csv,South Korea's concentration of 65+ residents has almost tripled within one generation,NA,NA,NA,"Bloomberg ranked the 25 countries with the highest ""aging multiple,"" growth of their senior population during approximately one generation (1981 to 2011).",Excluded were countries with fewer than 3 million residents ages 65+ in 2011.,World Bank,2013-05-28
Favorite Locations of High-Tech Companies: Countries,5/28/2013,places,business,United States,NA,NA,favorite-locations-of-high-tech-companies-countries.csv,More than 20% of publicly listed companies in the U.S. are in the high-tech field,NA,NA,NA,Bloomberg ranked countries based on their percentage of publicly listed high-tech companies.,"The following industries were included:  aerospace and defense, biotechnology, hardware, software, semiconductors, Internet software and services and renewable energy. Excluded were companies with market capitalizations of less than $1 million and countries with fewer than 100 public companies.","Bloomberg, World Bank",2013-05-28
Biggest Increases In Lobbying in U.S.: Companies,5/28/2013,companies,business,Google,NA,TRUE,biggest-increases-in-lobbying-in-u-dot-s-companies.csv,"Google tops other large companies on growth in lobbying spending, while Apple spends less",NA,NA,NA,Bloomberg ranked the 30 largest U.S. companies by market cap based on their percentage increase in lobbying spending from 2011 to 2012.,"Lobbying data for 1Q 2013 were collected on April 29, 2013.  Data were rounded.",Center for Responsive Politics,2013-05-28
Least Earnings Potential: Jobs,5/25/2013,careers,personal-finance,Postal Service Mail Carriers,NA,NA,least-earnings-potential-jobs.csv,"Mail carriers, shampooers, and fast-food cooks have the lowest upside earnings potential",NA,NA,NA,Bloomberg ranked occupations based on upside earnings potential by calculating the ratio of pay for the top 10% of workers to pay for the bottom 10% of workers.,"Excluded were managerial positions, jobs that pay at least $100,000 at 10th percentile, occupations with fewer than 10,000 jobs nationwide and occupations without sufficient data. Study was based on BLS OES 2012 by state data. Pay included base rate, cost-of-living allowances, guaranteed pay, hazardous-duty pay, incentive pay, including commissions and production bonuses and tips. Earnings were state averages.",Bureau of Labor Statistics,2013-05-25
Most Earnings Potential: Jobs,5/25/2013,careers,personal-finance,"Securities, Commodities and Financial Services Sales Agents",NA,NA,most-earnings-potential-jobs.csv,"Traders, athletes and real estate brokers have the highest earnings potential",NA,NA,NA,Bloomberg ranked occupations based on upside earnings potential by calculating the ratio of pay for the top 10% of workers to pay for the bottom 10% of workers.,"Excluded were managerial positions, jobs that pay at least $100,000 at the10th percentile, occupations with fewer than 10,000 jobs nationwide and occupations without sufficient data. Study was based on BLS OES 2012 by state data. Pay included base rate, cost-of-living allowances, guaranteed pay, hazardous-duty pay, incentive pay, including commissions and production bonuses and tips. Earnings were state averages",Bureau of Labor Statistics,2013-05-25
Most Innovative in the U.S.: Companies,5/23/2013,companies,business,Cyberonics,NA,NA,most-innovative-in-the-u-dot-s-companies.csv,"Cyberonics, a Houston-based medical device maker, is the most innovative company in the U.S.",NA,NA,NA,"Bloomberg ranked S&P 1500 companies using an innovation index score, which has a highest value of 100.","The innovation index used three factors: EBITDA margin, R&D expenditure to sales and enterprise value per share. Companies were ranked for 2012 and on growth the last three years in each factor. Annual growth rates were determined using the least-squares growth rate. Companies lacking data needed to calculate growth rates were excluded, as were companies that had negative growth. Industries were determined using the BICS level 3 and level 4 classifications.","Bloomberg, Bloomberg Industries",2013-05-23
Biggest Involving Internet Companies: Takeover Deals,5/20/2013,companies,business,Skype Technologies,NA,NA,biggest-involving-internet-companies-takeover-deals.csv,Tumblr acquisition is 3rd largest public-company takeover of a private Internet company in a decade,NA,NA,NA,Bloomberg ranked public company acquisitions of private companies in the Internet industry based on deal value in the last 10 years.,"Ranking included pending or completed takeovers of private companies by a single public company, with either or both parties in the Internet industry. Only deals of at least $100 million and with announced or amendment dates from May 20, 2003, through May 20, 2013, were considered. Facebook's acquisition of Instagram was included because the deal was completed after Facebook went public.",Bloomberg,2013-05-20
Strongest in the U.S.: Banks,5/20/2013,companies,business,Citigroup,NA,NA,strongest-in-the-u-dot-s-banks.csv,Citigroup is the strongest bank in the U.S.,NA,NA,NA,Bloomberg ranked U.S. banks with total assets of $50 billion or more as of mid-May based on five factors.,"This ranking was created by multiplying each bank's rank in each of five factors by the factor's weight to derive a score. The five scores were added together to determine the bank's final rank. Tier 1 capital ratio, the ratio of a bank's core equity capital to its risk-weighted assets, received a weighting of 40 percent. The ratio of nonperforming assets to total assets received a weighting of 20 percent, as did the ratio of reserves for loan losses to nonperforming assets. The ratio of deposits to funding accounted for 15 percent of the final score, and the efficiency ratio, which compares costs with revenues, received a 5 percent weighting. Banks that reported a loss for their 2012 net income or whose capital plan was rejected by the Federal Reserve were excluded. All data were for banks' 2012 fiscal year, which in most cases ended December 31. Banks that hadn't reported 2012 year-end data by May 20 were not included. Only banks with at least $50 billion in assets were considered, and only the top 10 are displayed.",Bloomberg,2013-05-20
Biggest Pay Premiums for Dual-Role CEOs: Industries,5/15/2013,companies,business,Telecommunication Services,NA,NA,biggest-pay-premiums-for-dual-role-ceos-industries.csv,CEOs who are also Chairmen earn 16% more than CEOs who are not,NA,NA,NA,Bloomberg ranked industries based on the pay premium of S&P 500 CEOs who are both CEO and Chairman versus those who are not.,"Bloomberg recorded the total pay of CEOs from the summary compensation table of their proxy statements, and calculated the difference between CEOs who are also chairman and those who have a single role.",Bloomberg,2013-05-15
Most Stressed-Out: Countries,5/10/2013,places,lifestyle,Nigeria,NA,NA,most-stressed-out-countries.csv,"A stress test shows life is toughest in Nigeria, easiest in Norway",NA,NA,NA,Bloomberg ranked countries based on the stressfulness of their living environments.,"Seven equally weighted variables were considered: homicide rates, GDP per capita on a purchasing-power-parity basis, income inequality, corruption perception, unemployment, urban air pollution and life expectancy. Income inequality was measured by the Gini Index, where a score of 0 represents perfect equality and 100 perfect inequality. Corruption perception refers to Transparency International's Corruption Perceptions Index, which scores countries on a scale of 0 to 100, with 0 being the most corrupt. Urban outdoor air pollution is the annual mean concentration of fine particles smaller than 10 microns, measured in micrograms per cubic meter. Countries were allotted points for each variable based on their relative position in that category's ranking. The country with the least-stressful measure for each variable received 0 points, while the country with the highest stress level received 100 points. All other countries were scored on a percentile basis depending on their position between the two extremes. Points for the seven variables were averaged for a final score from 0 to 100, a higher score indicating a more stressful living environment. All data were the latest available. Only countries with data available for all seven variables were included.","United Nations Office on Drugs and Crime, International Monetary Fund, Central Intelligence Agency World Factbook, Transparency International, World Health Organization",2013-05-10
Most Decadent: Countries,5/6/2013,places,lifestyle,Czech Republic,NA,NA,most-decadent-countries.csv,Czech Republic is the world's most decadent country,NA,NA,NA,"Bloomberg ranked countries on their propensity for vice, measured by alcohol and cigarette consumption, drug use and gambling levels.","The four variables--total adult per capita alcohol consumption, total adult per capita cigarette consumption, annual prevalence of drug use as a percentage of the population ages 15-64, and total gambling losses as a percentage of GDP--were weighted equally. For alcohol and cigarettes, ""adult"" includes all residents ages 15 and older. Drug-use figures cover five equally weighted categories: amphetamines, cannabis, cocaine, ecstasy and opioids (including prescription opioids). 
The country with the maximum value in each variable received 25 points for that variable; the country with the minimum value received zero points. All other countries were scored  based on their percentile positions within the maximum-minimum band. Points for each variable were summed for a final score, with a range of 0-100. A higher score indicates a higher propensity for vice. All data are the latest available. Only countries with data for all categories were included.","World Health Organization, Tobacco Atlas, United Nations Office on Drugs and Crime, Global Betting and Gaming Consultants",2013-05-06
Highest Salaries in OECD: Countries,5/3/2013,places,economics,United States,NA,NA,highest-salaries-in-oecd-countries.csv,"The U.S. leads OECD countries in salaries while Spain, Italy, Israel are in bottom half",NA,NA,NA,Bloomberg ranked OECD countries on average annual wages.,"Data were from 2011 and reflected salaries of full-time employees and full-year equivalent employees (employees on part-time schedules converted to a full-time basis). Salaries were adjusted for purchasing power parity, which allows for the comparison of costs in one country with another.",The Organisation for Economic Co-operation and Development,2013-05-03
"Lowest-Paying, Most Dangerous: Jobs",5/3/2013,careers,economics,Fishermen and related workers,NA,TRUE,lowest-paying-most-dangerous-jobs.csv,Fishermen and loggers have the most dangerous jobs--and aren't rewarded for it,NA,http://www.bloomberg.com/slideshow/2013-07-18/lowest-paying-most-dangerous-jobs.html,NA,Bloomberg ranked U.S. occupations based on the ratio of wages to on-the-job fatalities.,"Only occupations from the BLS's Injuries, Illnesses, and Fatalities database that had corresponding wage data from the BLS's Occupational Employment Statistics database were considered. The final list of 42 jobs excluded occupations deemed too broad or that overlapped with other occupations. The Dead-end-job score was calculated by dividing a job's annual wages by its fatality rate, and dividing the result by 100. A lower score indicates a lower ratio of wages to on-the-job deaths. A higher score indicates that workers are better compensated for the risk. Workers under the age of 16, volunteers and military occupations were excluded. Fatality rates were from 2011 and included BLS's revised figures released April 25, 2013. Wage data were from May 2012.",U.S. Bureau of Labor Statistics,2013-05-03
Worst for Minimum-Wage Workers: States,5/3/2013,places,personal-finance,District of Columbia,NA,NA,worst-for-minimum-wage-workers-states.csv,"D.C., New Jersey, New York are worst places to be a minimum-wage worker",NA,NA,NA,Bloomberg ranked the U.S. states on hourly minimum wage as a percentage of per capita hourly income.,"According to the BEA, ""Personal income is the income received by all persons from all sources. It is the sum of net earnings by place of residence, property income, and personal current transfer receipts."" Hourly personal income was calculated by dividing the annual personal income rate by 2000 (40 hours per week for 50 weeks). Minimum-wage rates were as of February 13, 2013. Some states' minimum wages exceed the federal minimum wage of $7.25 per hour. For states with statutory minimum wages of less than $7.25 or with no minimum wage, the federal rate supersedes the state rate. BEA state personal income rates were from Q2 2012 and Census state population estimates were for July 1, 2012. In Missouri, federally covered employment and employees of a retail or service business with gross annual sales or business of less than $500,000 are exempt from state minimum wage. In Nevada, minimum wage is for workers with no health insurance benefits provided by employer; the rate is $7.25 for workers with health insurance provided by employer. In Ohio, minimum wage is $7.25 for employers grossing $283,000 or less.","National Conference of State Legislatures, U.S. Department of Labor, U.S. Census Bureau, U.S. Bureau of Economic Analysis",2013-05-03
Best for Workers: Countries,5/3/2013,places,business,Ireland,NA,NA,best-for-workers-countries.csv,"Looking for good pay, generous benefits and smart colleagues? Head to Ireland or France",NA,NA,NA,Bloomberg ranked OECD countries based on their working environment.,"The ranking focused on compensation and quality of peers, assuming that workers would prefer countries where they can expect to be competitively compensated, have the least amount of direct outlay for their own health care and retirement, and have productive and educated colleagues. Competitiveness of pay was divided into three factors: annual wages, calculated by annualizing monthly wage data in local currency from the International Labor Organization and converting figures into U.S. dollars using year-end exchange rates for each of the five years; compensation, such as cash and in-kind payments, as well as contributions to social security and pension, as a percentage of expense; and out-of-pocket spending on health care, such as direct outlay to health practitioners, pharmaceuticals and therapeutic devices. Quality of peers included: productivity (GDP per person employed); labor force participation; and labor force with tertiary education. For each factor, countries were scored as percentages to the maximum value within the OECD. Factors were then averaged to derive the total score for each country. Countries with fewer than five data points were excluded. The most recent five-year average data available were used to smooth out the short-term volatility due to recent financial swings.","OECD, International Labor Organization, IMF, The Conference Board, World Bank",2013-05-03
Lowest-Paid Boards: Companies,5/3/2013,companies,business,Berkshire Hathaway,NA,NA,lowest-paid-boards-companies.csv,"Berkshire Hathaway board members earned $34,000 in 2012, less than any large U.S. company",NA,NA,NA,Bloomberg ranked the boards of the 500 largest market-cap companies in the U.S. on total compensation.,"Figures were the latest available as of April 30, 2013. Included companies with stock trading history and total-return data for at least two years, from 12/31/10 to 12/31/12.","Bloomberg, SEC filings, company websites",2013-05-03
The EU's Busiest Psychiatrists: Countries,5/2/2013,places,lifestyle,Portugal,NA,NA,the-eus-busiest-psychiatrists-countries.csv,Psychiatrists in Portugal have the EU's most crowded couches,NA,NA,NA,Bloomberg ranked EU countries based on the annual number of patients per psychiatrist.,"To calculate the patients-per-psychiatrist ratio, the number of citizens who had consulted a psychiatrist in the previous 12 months (February 2009 to February 2010) was divided by the number of psychiatrists in each country (according to OECD database and WHO reports, using latest year available). Figures for Italy and Bulgaria were not available.","OECD, European Commission, World Health Organization",2013-05-02
Most Worried About by Aging Rich People: Concerns,5/1/2013,other,lifestyle,Memory,NA,NA,most-worried-about-by-aging-rich-people-concerns.csv,Young rich people fear losing memory and gaining weight as they age,NA,NA,NA,"Bloomberg ranked aging concerns of rich people by age group and by gender, and highlighted the 15 biggest worries of people ages 30-44.","Data came from a Luxury Institute poll of 589 consumers in the U.S. with a minimum gross annual income of at least $150,000. The survey, completed in the first quarter of 2012, concentrated on aging concerns and the use of anti-aging regimens.",Luxury Institute,2013-05-01
Most Underachieving: CEOs,5/1/2013,people,business,Meg Whitman,NA,NA,most-underachieving-ceos.csv,HP's performance during her tenure puts Whitman first among S&P 100 underachievers,NA,NA,NA,Bloomberg ranked CEOs who were in their jobs for at least one year as of April 30 on their company's stock performance compared to the S&P 500 during their tenure.,"Companies were drawn from the S&P 100 as of April 30, 2013. Annualized total return for each CEO was calculated from the day the CEO started until April 30.","Bloomberg, company records",2013-05-01
Highest Showbiz Pay: States,4/23/2013,places,business,California,NA,NA,highest-showbiz-pay-states.csv,"Actors earn the most in Hawaii, while California is most lucrative for film and video editors",NA,NA,NA,Bloomberg ranked the U.S. states and the District of Columbia on 2002-2012 average composite pay for four representative show-business occupations.,"State-by-state and year-by-year detailed data for the four occupations (actor, audio and video equipment technician, camera operator and film/video editor) were extracted from annual releases put out by the Bureau of Labor Statistics' Occupational Employment Statistics.  To come up with composite pay for each state, the ten-year average hourly wage for every occupation was calculated and averaged for the four occupations each year.",Bureau of Labor Statistics' Occupational Employment Statistics,2013-04-23
Most Showbiz Jobs: States,4/23/2013,places,economics,California,NA,NA,most-showbiz-jobs-states.csv,New Mexico has the highest concentration of actors,MLTTJG6TTDU701,NA,NA,Bloomberg ranked the U.S. states and the District of Columbia on the 2002-2012 average composite job concentration of four representative show-business occupations.,"Job concentration levels were calculated by summing the number of showbiz jobs (actor, audio and video equipment technician, camera operator and film/video editor) per 10,000 jobs in each state.",Bureau of Labor Statistics' Occupational Employment Statistics,2013-04-23
Wealthiest Retired Residents: U.S. Cities,4/23/2013,places,lifestyle,"Crows Nest, IN",NA,NA,wealthiest-retired-residents-us-cities.csv,"Crows Nest, Indiana, is home to some of the wealthiest retirees in the U.S.",NA,NA,NA,Bloomberg ranked U.S. cities on average annual household retirement income,"Places with less than $75,000 in average household retirement income, median home values less than $500,000 and fewer than 100 residents were excluded. Retirement incomes include retirement pensions, survivor benefits or disability income from an employer, labor union, federal, state, or local government or the U.S. military; periodic receipts from annuities and insurance; and regular income from IRA and Keogh plans. Retirement income does not include Social Security.",U.S. Census ACS 2007-2011 5-Year Estimates,2013-04-23
Longest Commutes: U.S. Cities,4/22/2013,places,lifestyle,"New York, NY",NA,NA,longest-commutes-us-cities.csv,Almost one-third of New York City workers travel at least an hour to get to their jobs,NA,NA,NA,Bloomberg ranked U.S. cities with available data on travel time from home to work.,"U.S. cities with at least 250,000 workers who do not work at home were ranked on two factors: the percentage of workers 16 years of age and older whose commute from home to work was greater than 60 minutes; and the average commuting time. They were given a corresponding point score from 0 to 100 on each factor. The ranks were summed and divided by the highest possible total to determine the final commuting score.",U.S. Census 2011 ACS 5-year Estimates,2013-04-22
Highest-Paid While Outearning Their CEOs: Executives,4/17/2013,people,business,Robert Mansfield,NA,NA,highest-paid-while-outearning-their-ceos-executives.csv,Blackstone COO Tony James was paid nearly four times more than CEO Schwarzman in 2012,NA,http://www.bloomberg.com/video/here-s-why-it-pays-to-be-cfo-of-a-tech-company-VXtEPYkcRHCBO7WcrMvHNQ.html,NA,Bloomberg ranked named executive officers whose total compensation for the latest fiscal year exceeded that of their CEO.,"Included were the top 500 U.S. companies by market capitalization that, as of April 17, had filed a proxy for their latest fiscal year. Data were taken from proxies' Summary Compensation Tables. For companies with more than one CEO, executives were compared to the CEO who received the highest pay.
Notes: COO is chief operating officer. Apple's Mansfield announced in May 2012 that he would be retiring. His compensation for 2012 reflects the fair value of a modified vesting schedule for the restricted stock he was granted in November 2011. Patrick Gelsinger is CEO of VMware, whose parent company is EMC. Walter Robb is Co-CEO of Whole Foods Market with John Mackey, and William Conway is Co-CEO of the Carlyle Group with David Rubenstein. John Frank is Principal Executive Officer at Oaktree Capital Group.","Bloomberg, company filings",2013-04-17
"Most Tax Revenue from Alcohol, Tobacco, Betting: States",4/16/2013,places,personal-finance,Texas,NA,NA,most-tax-revenue-from-alcohol-tobacco-betting-states.csv,"Texas receives more tax money from ""sin"" than any other state",NA,NA,NA,"Bloomberg ranked states based on the 2012 U.S. Census survey of State Government Tax Collections from sales and gross receipts for alcohol, tobacco and pari-mutuels.","Pari-mutuels include tax revenue measured by amounts wagered or bet on such activities as horseracing, dog racing and Jai-alai and excludes taxes on racetrack admissions and licenses. Statistics were for state government fiscal years ending on June 30, 2012 except for Alabama and Michigan (September 30), New York (March 31) and Texas (August 31). West Virginia's figure for alcohol was an estimate for taxes collected on sales of alcoholic beverages by private businesses, calculated by subtracting taxes from state-run liquor sales from total taxes collected from liquor sales, according to the census.",U.S. Census,2013-04-16
Most Profitable Employees: Companies,4/9/2013,companies,business,InterDigital,NA,NA,most-profitable-employees-companies.csv,"InterDigital, Rosetta Resources top list of companies with highest net income per employee",NA,NA,NA,Bloomberg ranked companies in the S&P 1500 based on net income per employee.,"To determine net income per employee, each company's latest available net income was divided by its number of employees for the same period. Included companies with 2012 or 2013 fiscal-year data available. Excluded real estate investment trusts and companies with fewer than 100 employees.",Bloomberg,2013-04-09
U.S. Brain Gains: Countries,4/8/2013,places,economics,India,NA,NA,us-brain-gains-countries.csv,The most highly skilled immigrants in the U.S. come from India,NA,NA,NA,Bloomberg ranked countries on their average loss of specialty-occupation workers to the U.S. from 2009 to 2011.,"Figures for H-1B specialty-occupation worker petitions were extracted from the ""Characteristics of H-1B Specialty Occupation Workers,"" an annual report prepared by Homeland Security and U.S. Citizenship and Immigration Services. The top 20 counts by country of birth of beneficiary were recorded for the three fiscal years and an average was calculated to determine each country's share of total H-1B petitions approved and the brain drain they represented for their home country. The general duration of an H-1B visa is three years and can be extended for another three years. Numbers for Israel were based on the 2009 and 2010 reports, Spain appeared in just 2010 and 2011, and Argentina was only in the 2009 report. The U.S. requires that ""the nature of the specific duties be so specialized and complex that the knowledge required to perform the duties is usually associated with the attainment of a bachelor's or higher degree"" for a visa for specialty occupations.","Homeland Security, International Labor Organization, CIA World Factbook",2013-04-08
Highest Pay for Tech Jobs: States,4/8/2013,places,business,District of Columbia,NA,NA,highest-pay-for-tech-jobs-states.csv,"Jobs in science, technology, engineering and math pay about 64% more than the average occupation",NA,NA,NA,"Bloomberg ranked U.S. states and the District of Columbia based on pay for jobs related to science, technology, engineering and mathematics.","Pay for STEM (science, technology, engineering and math) jobs was calculated as the employment number-weighted average annual wage of the following three occupational groups from the Bureau of Labor Statistics Occupational Employment Statistics (BLS OES): Computer and Mathematical Occupations (15-0000); Architecture and Engineering Occupations (17-0000); and Life, Physical and Social Science Occupations (19-0000). Only jobs with at least 100 employees were considered when identifying the highest-paid STEM occupation.",Bureau of Labor Statistics,2013-04-08
Greatest Growth in Jobs for Techies: States,4/8/2013,places,personal-finance,California,NA,NA,greatest-growth-in-jobs-for-techies-states.csv,"California, Texas, Virginia post biggest gain in STEM jobs",NA,NA,NA,"Bloomberg ranked the U.S. states and the District of Columbia on their increase in science, technology, engineering and mathematics (STEM) professionals between 2001 and 2012.","BLS data were used to identify states with the biggest gains and biggest share of STEM professionals. STEM numbers are aggregated totals of three major occupational groups from Bureau of Labor Statistics Occupational Employment Statistics (BLS OES): Computer and Mathematical Occupations (15-0000); Architecture and Engineering Occupations (17-0000); and Life, Physical and Social Science Occupations (19-0000).",Bureau of Labor Statistics Occupational Employment Statistics,2013-04-08
Most Efficient: Companies,4/3/2013,companies,business,Mueller Industries,NA,TRUE,most-efficient-companies.csv,"PPG, Interpublic among companies that grew profit margins faster than sales",NA,NA,NA,Bloomberg ranked S&P 1500 companies on their ratio of margin growth to sales growth.,"To be included, companies had to have positive sales and profit margins and positive sales and profit margin growth for the last five years. Companies with sales or margin growth rates of less than 1 or greater than 100 were excluded. In addition, profit margin growth had to be greater than sales growth. Growth was calculated using the least squares method from the latest available five years of data. All data were for companies' 2008 to 2012 fiscal years, except for Finish Line, Home Depot and Williams-Sonoma, which were ranked on their 2009 to 2013 fiscal years.",Bloomberg,2013-04-03
Fastest-Growing: College Endowments,4/2/2013,schools,education,UCLA Foundation,NA,NA,fastest-growing-college-endowments.csv,Public universities show the greatest three-year increase in endowment value,NA,NA,NA,Bloomberg ranked colleges and universities on their three-year average annual growth in endowments,"Colleges and universities with endowments of at least $1 billion in their 2012 fiscal year and with at least four years of endowment data were included. Changes reflect withdrawals, management and investment fees, gifts and other contributions, and investment gains and losses. The three-year average annual growth rate was calculated using the least-squares method. The endowment market value data for Canadian institutions were expressed in U.S. dollars. The Texas A&M University System & Foundations total included endowment assets from Texas A&M Foundation and Baylor Oral Health Foundation. The University of Minnesota & Foundations total included combined endowment assets for the Regents of the University of Minnesota, University of Minnesota Foundation and Minnesota Medical Foundation. The total for the University of Illinois & Foundation included the combined assets from University of Illinois and the University of Illinois Foundation.","Bloomberg, NACUBO-Commonfund Institute",2013-04-02
Highest Electricity Production: Countries,3/31/2013,places,economics,United States,NA,NA,highest-electricity-production-countries.csv,United States leads the world in electricity production with China a close second,NA,NA,NA,"Bloomberg ranked countries on their total electricity production, and calculated the percentage of total production attributable to each power source.","Renewable refers to electricity production from  geothermal, solar, tides, wind, biomass and biofuels, excluding hydroelectric.",World Bank,2013-03-31
Fewest Female Top Executives: States,3/31/2013,places,business,Arkansas,NA,NA,fewest-female-top-executives-states.csv,Deep South is devoid of female executives,NA,NA,NA,Bloomberg ranked the U.S. states and the District of Columbia on the percentage of female workers employed as top executives in 2011.,"Year-round and full-time male and female civilian workers 16 years of age and older were considered. Top executives include chief executives, general and operations managers and legislators.",U.S. Census 2011 American Community Survey 3-Year Estimates,2013-03-31
Most Volunteers: States,3/30/2013,places,lifestyle,Utah,NA,TRUE,most-volunteers-states.csv,Utah and Idaho have the highest volunteer rates in the U.S.,NA,NA,NA,Bloomberg ranked the U.S. states and the District of Columbia on the volunteer rates of their residents in 2011.,"The volunteer rate was estimated from the survey population based on the latest U.S. Census data. The rate was calculated as the percentage of respondents 16 or older who performed unpaid volunteer activities through or for an organization during the 12-month survey year. The value of volunteering was calculated by multiplying the estimated value of a volunteer hour, $21.79, according to Volunteering and Civic Life in America, by the total number of volunteer hours for each state.",Volunteering and Civic Life in America (volunteeringinamerica.gov),2013-03-30
Greatest Growth in Coal Production: States,3/29/2013,places,business,Wyoming,NA,NA,greatest-growth-in-coal-production-states.csv,Western states' change in coal production has outpaced that of Appalachian states,NA,NA,NA,Bloomberg ranked the U.S. states on change in coal production from 1987 to 2012.,Included were states that produced at least 10 million short tons of coal in 2012.,U.S. Energy Information Administration,2013-03-29
Priciest Places to Wed: U.S. Cities,3/21/2013,places,personal-finance,"New York, NY (Manhattan)",NA,NA,priciest-places-to-wed-us-cities.csv,"Manhattan weddings, already the costliest in the U.S., are getting even more expensive",NA,NA,NA,Bloomberg ranked U.S. places on the increase in the average wedding budget from 2011 to 2012.,The universe was limited to the 20 costliest places in the U.S. for weddings in 2012. Northern California was included in 2011 data for San Francisco.,"The Knot, Inc. Real Weddings Survey",2013-03-21
Biggest Increase in Number of Brewers: States,3/20/2013,places,business,California,NA,NA,biggest-increase-in-number-of-brewers-states.csv,California boasts both the highest number of brewers and the biggest increase since 2011,MLTTJG6TTDU701,NA,NA,Bloomberg ranked the U.S. states and the District of Columbia on the increase in number of permitted brewers from 2011 to 2012.,Permitted brewers refer to manufacturers that have completed the appropriate paperwork and obtained the necessary permits to operate though they may not be fully operational yet.,"Beer Institute, Alcohol and Tobacco Tax and Trade Bureau",2013-03-20
Greatest Concentration of Senior Poverty: States,3/15/2013,places,economics,North Dakota,NA,NA,greatest-concentration-of-senior-poverty-states.csv,Ninety-five percent of North Dakotans living in poverty are 65 or older,NA,NA,NA,Bloomberg ranked the U.S. states and the District of Columbia on their concentration of senior poverty.,Three equally weighted criteria were used to create this ranking: the number of seniors (ages 65+) living in poverty as a percentage of the total population living in poverty; senior poverty as a percentage of the working-age (15-64) population; and senior poverty as a percentage of the state's total population. States were ranked in each factor--with 1 indicating the highest percentage of poverty--and  the three ranks were averaged to determine the order.,"U.S. Census, Administration on Aging (U.S. Department of Health & Human Services), Measure of America: A Project of the Social Science Research Council, Centers for Disease Control and Prevention",2013-03-15
Longest Retirements: States,3/15/2013,places,lifestyle,Hawaii,NA,NA,longest-retirements-states.csv,Hawaiians and Minnesotans live longest after retiring,NA,NA,NA,Bloomberg ranked the U.S. states and the District of Columbia on their average life expectancy postretirement.,"""Sunset years"" refer to life expectancy postretirement. Sunset years were calculated for each state by subtracting an assumed retirement age of 65 from the average life expectancy for men and women. States were ranked by their gender ratio-weighted average.
",U.S. Census; U.S. Department of Health & Human Services' Administration on Aging; Measure of America project of the Social Science Research Council; Centers for Disease Control and Prevention,2013-03-15
Most Seniors: States,3/15/2013,places,lifestyle,California,NA,NA,most-seniors-states.csv,California has almost 80 times more senior citizens than Alaska,NA,NA,NA,Bloomberg ranked U.S. states and the District of Columbia on the size of their senior (65+) population,NA,"U.S. Census, U.S. Health & Human Services Administration on Aging, Measure of America project of the Social Science Research Council, Centers for Disease Control and Prevention",2013-03-15
Biggest Boomtowns: U.S. Cities,3/7/2013,places,economics,"Austin-Round Rock, TX",NA,NA,biggest-boomtowns-us-cities.csv,"Austin-Round Rock, TX, shows the best combination of population and GDP growth in U.S.",NA,NA,NA,"Bloomberg ranked 360 metropolitan statistical areas (MSAs)  on their  population and real GDP growth from 2007 to 2011, singling out 25 MSAs that showed an increase in both.","MSAs were ranked on population growth and real GDP compound annual growth and given a corresponding point score of 1 to 100 in each factor. The scores were added together and were divided by the highest possible total to create the score. Included MSAs with at least 1 million residents as of 2011. Census population estimates were as of July 1, 2007, and July 1, 2011.","U.S. Bureau of Economic Analysis, U.S. Census",2013-03-07
Most Cash After Debt: Companies,3/3/2013,companies,business,General Electric,NA,NA,most-cash-after-debt-companies.csv,General Electric and Microsoft would be flush with cash even if they paid off their debt,NA,NA,NA,"Bloomberg ranked nonfinancial companies in the S&P 500 based on their cash after debt, which is the money they could obtain through cash on hand and securities that could be liquidated quickly, minus their debt.","Cash after debt was calculated by adding the latest figures for available cash and near-cash items to marketable securities and other short-term investments, then subtracting short- and long-term debt.",Bloomberg,2013-03-03
Most Money Going to Home Improvement: U.S. Cities,2/25/2013,places,business,"Phoenix, AZ",NA,NA,most-money-going-to-home-improvement-us-cities.csv,Phoenix homeowners spend the most on home improvement in the U.S.,NA,NA,NA,Bloomberg ranked U.S. cities on average per-owner spending on home improvement.,The 50 most populous metropolitan areas were considered. Data were from 2011.,Joint Center for Housing Studies of Harvard University,2013-02-25
Highest Passive Earners: U.S. Cities,2/25/2013,places,personal-finance,"San Francisco-Oakland-Fremont, CA",NA,NA,highest-passive-earners-us-cities.csv,"San Francisco, Miami are the best cities to collect income without working",NA,NA,NA,Bloomberg ranked U.S. metropolitan statistical areas (MSAs) on passive income per capita.,"The universe consisted of 51 MSAs with at least 1 million residents. Passive income is personal income from dividends, interest and rent. Per capita income figures were rounded to the nearest dollar.","Bureau of Economic Analysis, U.S. Census ACS 5-Year Estimates",2013-02-25
Most Noncitizen Homeowners: U.S. Cities,2/13/2013,places,lifestyle,"El Paso, TX",NA,NA,most-noncitizen-homeowners-us-cities.csv,Texas is the favorite state of homeowners who are not U.S. citizens,NA,NA,NA,Bloomberg ranked U.S. cities based on the percentage of noncitizen homeowners.,"The percentage of total occupied housing units that were owner-occupied by foreign-born, non-U.S. citizens was calculated for each city. Only cities with at least 500,000 residents as of 2011 were included.",U.S. Census 2011 ACS 5-Year Estimates,2013-02-13
